GENE1,GENE2,SCORE,HPRD,Pvalue
INSR,PTPRF,4.580766846,1,0.02945
EGFR,PDGFRB,4.503165204,1,0.031925
SNF1LK,ERBB2,4.472161489,2,0.159413156
YES1,PDGFRB,4.444735913,2,0.030569
PTK2,EGFR,4.44410536,1,0.059538193
EGFR,DDR1,4.436814752,2,0.010333
FN1,ITGA3,4.391130389,1,0.090839
CBL,EPHB6,4.373945622,1,0.012143
ITGB1,ITGB5,4.352583904,1,0.062033262
SNF1LK,TGFBR1,4.350468103,2,0.038601
TYK2,EPHA2,4.349655937,2,0.100209
HIPK2,TGFBR2,4.335801343,2,0.115953
THBS1,ITGB3,4.30366861,1,0.00399911
ILK,TGFBR2,4.302515142,2,0.044775975
PTK2,PDGFRB,4.296742753,1,0.06844792
MAP2K3,TGFBR2,4.28464688,2,0.012046
JAK1,IGF1R,4.284505388,1,0.068014112
COL1A2,ITGA2,4.282784472,1,0.036733
LYN,CSF1R,4.281188157,1,0.026722
DDR1,PTK7,4.270858753,2,0.029651919
CLK1,TGFBR2,4.264125924,2,0.080885577
PTPN1,IGF1R,4.263980266,1,0.0143621
ADRBK1,RYK,4.255350357,2,0.063893143
CDC2L5,TGFBR2,4.25510485,2,0.092051
FYN,TYRO3,4.246607235,1,0.097555098
YES1,ERBB2,4.238002745,2,0.011572245
TRIO,MET,4.226650964,2,0.087602
PRKD3,CSF1R,4.214289932,2,0.008911
CBL,MET,4.212288063,1,0.120060396
RIPK2,TNFRSF1A,4.206532187,1,0.093592146
CSK,IGF1R,4.204059724,1,0.060014391
THBS1,ITGB1,4.203786071,1,0.058522
WNK1,TGFBR2,4.200478224,2,0.042248724
FYN,PDGFRB,4.196288883,1,0.03083
ELN,ENG,4.194822226,2,0.033437
GNAS,LHCGR,4.189747436,1,0.028206603
STK24,ACVR1,4.189535922,2,0.042809
GAB1,MET,4.188361998,1,0.018274831
TGFB1,TGFBR2,4.176395336,1,0.06309
SNF1LK,RYK,4.170954358,2,0.096244
TGFBR2,ACVRL1,4.167806004,1,0.053242163
SNF1LK,TGFBR2,4.162903124,2,0.124997043
ABL2,EPHA5,4.161245717,2,0.081583217
PTPN11,INSR,4.1563292,1,0.084137
FER,EGFR,4.14543988,1,0.061878786
RP13-297E16.1,NOTCH1,4.142041247,2,0.06653092
PAK2,TGFBR2,4.135673466,2,0.068845367
PTK2,IGF1R,4.124687531,2,0.034911
INSR,ERBB3,4.121329768,2,0.040459
PTK2,ERBB3,4.110946382,1,0.023624785
DAPK1,TNFRSF1A,4.10941278,1,0.019104
JAG1,ENG,4.107382819,2,0.072008819
CCL11,CCR3,4.106905982,1,0.013154
EGFR,ERBB2,4.105419506,1,0.07200784
TRIO,EPHB3,4.103831217,2,0.079333
PTPN1,NTRK2,4.101178619,1,0.018191
EGFR,PTPRJ,4.100941263,1,0.088999737
MAPKAPK2,TGFBR2,4.098396575,2,0.034340242
FYN,CSF1R,4.092116395,1,0.103447272
TLR2,TLR1,4.088656181,1,0.050980319
IFNAR1,IL6ST,4.08278004,2,0.030607127
CREBBP,PLXNB1,4.082146625,2,0.010555292
PTPN1,INSR,4.081799573,1,0.05423124
ABL2,FGFR1,4.080915232,2,0.102707399
CSK,INSR,4.072286541,1,0.032625459
TYK2,CSF1R,4.070104541,2,0.078210207
MAPK8,ACVR1B,4.068805486,2,0.10065
NEO1,EPHA2,4.06563711,2,0.012891943
PKN2,TGFBR2,4.05982127,2,0.131815897
CAMK1,TGFBR1,4.052504384,2,0.08438
ROR1,PTK7,4.050807067,2,0.102666
IL6ST,IL6R,4.048875055,1,0.042551388
PTPN11,PDGFRB,4.041655947,1,0.086595
THBS3,ENG,4.04005302,2,0.001131313
GNAL,LHCGR,4.037937914,2,0.187421
SYK,FGFR4,4.034235114,2,0.036133781
PTPN1,EGFR,4.031615283,1,0.053272883
ADRBK2,CSF1R,4.027413012,2,0.049538988
PDGFRB,DDR1,4.025773796,2,0.151652
RIPK1,FAS,4.025364408,1,0.012593
ABL1,EPHB2,4.021675006,1,0.041313
STK38,TGFBR2,4.01987957,2,0.05953493
FYN,EPHA4,4.019587969,1,0.003993865
PTPN6,PTK7,4.01932198,2,0.114766353
DAPK3,PTPRF,4.01792139,2,0.163581776
RELA,NOTCH1,4.017419585,1,0.005587748
CSNK1D,TGFBR1,4.017408119,2,0.129482548
DAPK3,ACVRL1,4.013603926,2,0.096873426
PTK2,ERBB2,4.00942019,1,0.104096023
PTPRG,EPHA4,4.006583995,2,0.044357
MAPK7,TGFBR2,4.002143141,2,0.066909
FN1,ITGA5,3.999459702,1,0.112158131
INSR,IGF1R,3.995871446,2,0.013695054
COL18A1,ITGB1,3.992911167,2,0.0965385
TGFBR1,TGFBR2,3.990469819,1,0.021136652
ITGB1,ITGA6,3.984111326,1,0.114143
TRIO,PTPRF,3.97740968,1,0.020222
JAK1,PTK7,3.97473612,2,0.060865
CASP8,TNFRSF10B,3.974719828,1,0.012363
PRKCH,BMPR2,3.972133482,2,0.073075685
CTGF,IFNGR2,3.97090655,2,0.043288
ARHGEF2,MET,3.966608259,2,0.006122
SNF1LK,INSR,3.965654675,2,0.083379675
ROR1,PDGFRB,3.962234274,2,0.094986727
GNA13,TSHR,3.962120833,1,0.058892167
SRC,EGFR,3.959557382,1,0.022289
JAK1,ROR2,3.95414476,2,0.040448573
FYN,EPHB3,3.949964168,1,0.012076835
AKT1,ERBB2,3.947415702,2,0.118183131
PTPN1,DDR1,3.944451645,2,0.003115022
PDGFRA,AXL,3.939581686,2,0.069558
HLA-G,LILRB2,3.938239197,1,0.041073
NOTCH1,ITGB2,3.937084191,2,0.071077
RIPK1,TNFRSF1A,3.935586457,1,0.006412
SPARC,ERBB2,3.935318362,2,0.063903
PTK2,DDR1,3.929843504,2,0.084102
FAT,NEO1,3.929387631,2,0.075386869
SERPINE1,LRP1,3.927757437,1,0.194088
FGFR1,EPHA2,3.927309607,2,0.098861107
PTPN6,EGFR,3.924269322,1,0.099151322
STK38,BMPR2,3.923149675,2,0.103495
SRC,MET,3.922821326,1,0.066938326
ITGA3,ITGB1,3.921609647,1,0.007505
ABL2,EPHB3,3.92141937,2,0.007439037
PTPN11,EPHA2,3.92044354,1,0.033992706
MAPK8,BMPR1A,3.918201873,2,0.039360127
FGFR3,EPHB4,3.913768272,2,0.095495
RARG,NOTCH1,3.911779621,2,0.0295
GRB10,PDGFRB,3.910381439,1,0.01159
PTPN6,INSR,3.910098915,1,0.097899585
PTPN11,FGFR3,3.907738732,1,0.090176399
PDPK1,BMPR1A,3.906533766,2,0.062820734
TRIO,PDGFRB,3.905629038,2,0.099267038
PTPRF,EPHA2,3.903610598,2,0.025763
DAPK1,TGFBR2,3.903373366,2,0.107380801
PDGFRB,EPHB4,3.898589109,2,0.029268609
MAP3K12,BMPR1A,3.894389551,2,0.094074
PTK7,ERBB2,3.894073296,2,0.094091462
BMPR1A,BMPR2,3.893325752,1,0.060803748
TYK2,FGFR1,3.889308429,2,0.015152
LCK,IGF1R,3.889117299,2,0.123204466
TRIO,BMPR2,3.888774335,2,0.028434832
MAP3K12,TGFBR2,3.884268042,2,0.007398125
EPHB3,IGF1R,3.884261872,2,0.093039
ADRBK1,FLT1,3.88071238,2,0.10918838
DGKD,FGFR1,3.878453078,2,0.024514
TTN,CSF1R,3.876126891,2,0.123163891
TRIO,EPHA4,3.875472649,2,0.008989
MET,PDGFRA,3.872205617,2,0.026777
PTK2,FLT1,3.871948935,2,0.081481899
VWF,PLAUR,3.870826676,2,0.039434
ARAF,ACVR1,3.868795863,2,0.048839
YES1,EPHB4,3.867906048,2,0.055353618
INSR,EPHB4,3.867227269,2,0.073179397
LAMA3,PLXNB1,3.866360547,2,0.050962
TIMP3,IFNGR2,3.857544048,2,0.018615
MAPK14,TGFBR2,3.85392875,2,0.058982
JAK1,MET,3.853113876,2,0.005155
MAP3K2,BMPR1A,3.84477112,2,0.173915953
FGFR1,PTPRF,3.842296638,2,0.056033862
FYN,NTRK2,3.842158319,1,0.050858485
CSNK1G3,TGFBR1,3.839222353,2,0.141226147
ARHGEF11,PLXNB1,3.838846116,1,0.038536283
GRB10,EGFR,3.836903435,1,0.033368
PLK2,BMPR2,3.836619777,2,0.063185
PTK7,ROR2,3.835178088,2,0.093348
RIPK2,TGFBR2,3.833622037,2,0.115513
CBL,ROR2,3.831654091,2,0.041108
SNF1LK2,ACVR1B,3.829535438,2,0.041055562
COL4A3BP,CSF1R,3.825239366,2,0.02174
VLDLR,LDLR,3.825177391,2,0.061107057
ADRBK2,IGF1R,3.824040926,2,0.106467926
MAPKAPK5,TGFBR1,3.817807621,2,0.094128
JAK1,PDGFRA,3.816169847,2,0.163763
MCP,ITGB1,3.812134405,1,0.015141
TGFB3,IGF1R,3.809348228,2,0.030262
ACACA,LDLR,3.808614464,2,0.079777702
PRKCE,ACVR1B,3.807858965,2,0.041241869
PTPN6,ERBB2,3.807731561,2,0.069888394
YES1,FLT1,3.806679686,2,0.087048814
PTPN6,RYK,3.803636611,2,0.02149
TYK2,TGFBR2,3.803551105,2,0.012492438
TNK2,EGFR,3.802128477,1,0.015656
CD24,ATRN,3.800120959,2,0.115647293
RIPK2,BMPR2,3.799419658,2,0.088000175
MET,PTPRF,3.799197406,2,0.008667
TRADD,TNFRSF1A,3.798353191,1,0.030516
DDR1,FGFR4,3.798208046,2,0.056911
TRADD,TNFRSF10B,3.798152673,1,0.09840816
INSR,PDGFRA,3.796168636,2,0.062879
PRKD3,EGFR,3.794846527,2,0.01485
FN1,ITGAV,3.794527066,2,0.010551
RXRA,NOTCH1,3.792780835,2,0.021735
EPHB4,PTPRF,3.791341267,2,0.00825
SEMA6A,NOTCH4,3.789796104,2,0.104750104
JAK1,TGFBR1,3.789539512,2,0.043845
EGFR,EPHB3,3.787968458,2,0.079717
C3,LTBR,3.787419538,2,0.029805038
ERBB3,ERBB2,3.786889075,1,0.035249742
AKT1,TGFBR2,3.786677364,2,0.007059469
MAPK6,BMPR1A,3.785832958,2,0.104417376
EIF2AK2,TGFBR2,3.785607763,2,0.045781
CD14,TLR4,3.78538551,1,0.059538
JAG1,NOTCH3,3.784594406,1,0.091039739
DUSP10,TGFBR1,3.784493177,2,0.026831
GNAI3,HTR4,3.784271247,2,0.196262581
ABL2,EPHB2,3.783853758,2,0.067233
MTM1,ERBB2,3.783076035,2,0.153972298
MAPKAPK2,BMPR1A,3.782211524,2,0.010101
CSNK1D,ACVR1B,3.781725723,2,0.116307277
LAMA1,ENG,3.780050586,2,0.040595753
PTPN6,KIT,3.779243636,1,0.077669
CSF1R,FGFR1,3.775999783,2,0.098756051
INSR,PDGFRB,3.774107431,2,0.124103
PRKD2,FGFR4,3.77152042,2,0.009237
CTGF,VLDLR,3.770814228,2,0.090281228
COL1A2,ITGB1,3.770785441,2,0.018196226
ABL1,NTRK2,3.768688019,2,0.063308147
IGF1R,DDR2,3.763914229,2,0.016385438
